"data";"valor"
"01/12/2001";"92678,24"
"01/01/2002";"93544,45"
"01/02/2002";"97653,50"
"01/03/2002";"97771,33"
"01/04/2002";"97772,72"
"01/05/2002";"97774,95"
"01/06/2002";"98911,98"
"01/07/2002";"96797,01"
"01/08/2002";"96647,79"
"01/09/2002";"97346,12"
"01/10/2002";"97092,68"
"01/11/2002";"96931,56"
"01/12/2002";"99372,07"
"01/01/2003";"100042,88"
"01/02/2003";"100042,88"
"01/03/2003";"100042,88"
"01/04/2003";"100042,88"
"01/05/2003";"100099,79"
"01/06/2003";"100754,33"
"01/07/2003";"100754,33"
"01/08/2003";"101751,53"
"01/09/2003";"101334,38"
"01/10/2003";"101074,67"
"01/11/2003";"101259,13"
"01/12/2003";"99976,35"
"01/01/2004";"99976,35"
"01/02/2004";"100078,48"
"01/03/2004";"100078,48"
"01/04/2004";"100078,48"
"01/05/2004";"100078,48"
"01/06/2004";"99456,96"
"01/07/2004";"99654,47"
"01/08/2004";"100769,48"
"01/09/2004";"100455,60"
"01/10/2004";"100124,34"
"01/11/2004";"100124,34"
"01/12/2004";"106492,04"
"01/01/2005";"106262,28"
"01/02/2005";"106262,28"
"01/03/2005";"106262,28"
"01/04/2005";"106262,28"
"01/05/2005";"106262,28"
"01/06/2005";"113167,12"
"01/07/2005";"113167,12"
"01/08/2005";"113167,12"
"01/09/2005";"113167,12"
"01/10/2005";"111535,48"
"01/11/2005";"111535,48"
"01/12/2005";"109753,56"
"01/01/2006";"109797,18"
"01/02/2006";"109797,18"
"01/03/2006";"108715,00"
"01/04/2006";"108720,13"
"01/05/2006";"108724,28"
"01/06/2006";"109222,83"
"01/07/2006";"108858,72"
"01/08/2006";"109265,05"
"01/09/2006";"109289,24"
"01/10/2006";"109284,58"
"01/11/2006";"109128,08"
"01/12/2006";"109378,52"
"01/01/2007";"107475,52"
"01/02/2007";"109351,52"
"01/03/2007";"110139,68"
"01/04/2007";"109891,05"
"01/05/2007";"110072,37"
"01/06/2007";"109590,90"
"01/07/2007";"110674,88"
"01/08/2007";"110196,82"
"01/09/2007";"110311,15"
"01/10/2007";"110593,54"
"01/11/2007";"110515,48"
"01/12/2007";"108748,79"
"01/01/2008";"108742,89"
